index,seq_max,seq_last,future_max,down_amount,HUBROOMTOTAL,M16A_3F_STORAGE_UTIL,CD_M163FSTORAGEUTIL,M16A_3F_CMD
2646,351.0,279.0,279.0,72.0,519.0,210.0,0.0,221.0
2647,351.0,271.0,290.0,61.0,521.0,210.0,0.0,222.0
2913,384.0,301.0,288.0,96.0,1000.0,154.0,84.0,184.0
2914,384.0,286.0,288.0,96.0,980.0,156.0,79.0,175.0
2915,384.0,288.0,279.0,105.0,976.0,159.0,74.0,175.0
2916,384.0,279.0,271.0,113.0,972.0,161.0,70.0,165.0
2917,384.0,271.0,256.0,128.0,983.0,161.0,70.0,151.0
2918,384.0,256.0,243.0,141.0,993.0,161.0,70.0,144.0
2919,384.0,243.0,231.0,153.0,973.0,163.0,70.0,138.0
2920,384.0,231.0,226.0,158.0,955.0,163.0,68.0,129.0
2921,384.0,220.0,226.0,158.0,934.0,163.0,68.0,126.0
2922,384.0,212.0,226.0,158.0,936.0,163.0,68.0,127.0
2923,384.0,213.0,226.0,158.0,912.0,163.0,67.0,137.0
2924,384.0,221.0,226.0,158.0,896.0,164.0,67.0,155.0
2925,384.0,226.0,228.0,156.0,883.0,165.0,64.0,173.0
2926,384.0,211.0,235.0,149.0,870.0,170.0,57.0,172.0
2927,384.0,207.0,235.0,149.0,846.0,172.0,54.0,159.0
2928,384.0,196.0,235.0,149.0,829.0,173.0,53.0,145.0
2929,384.0,187.0,235.0,149.0,796.0,173.0,54.0,131.0
2930,384.0,181.0,235.0,149.0,780.0,173.0,54.0,134.0
2931,373.0,192.0,237.0,136.0,767.0,173.0,54.0,136.0
2932,373.0,187.0,248.0,125.0,767.0,174.0,53.0,142.0
2933,373.0,201.0,263.0,110.0,772.0,174.0,53.0,154.0
2934,367.0,210.0,278.0,89.0,758.0,174.0,53.0,165.0
2935,360.0,228.0,296.0,64.0,745.0,175.0,51.0,170.0
2936,352.0,235.0,296.0,56.0,746.0,175.0,50.0,173.0
2937,350.0,234.0,296.0,54.0,741.0,176.0,50.0,175.0
2938,344.0,229.0,296.0,48.0,727.0,176.0,49.0,168.0
2939,341.0,221.0,296.0,45.0,745.0,177.0,49.0,164.0
2940,339.0,223.0,296.0,43.0,749.0,176.0,49.0,168.0
2941,321.0,237.0,296.0,25.0,751.0,177.0,49.0,179.0
2942,301.0,248.0,296.0,5.0,752.0,177.0,49.0,197.0
3133,362.0,310.0,299.0,63.0,727.0,209.0,2.0,237.0
3134,362.0,299.0,288.0,74.0,726.0,209.0,2.0,228.0
3135,362.0,288.0,279.0,83.0,724.0,208.0,2.0,218.0
3136,362.0,279.0,281.0,81.0,725.0,209.0,2.0,215.0
3137,362.0,269.0,281.0,81.0,728.0,208.0,3.0,205.0
3138,362.0,263.0,281.0,81.0,726.0,208.0,3.0,195.0
3139,362.0,266.0,289.0,73.0,731.0,209.0,2.0,203.0
3140,362.0,263.0,289.0,73.0,731.0,208.0,2.0,210.0
3141,362.0,260.0,289.0,73.0,720.0,207.0,4.0,213.0
3142,362.0,251.0,289.0,73.0,708.0,208.0,4.0,200.0
3143,362.0,247.0,289.0,73.0,705.0,207.0,4.0,203.0
3144,362.0,262.0,294.0,68.0,726.0,206.0,5.0,211.0
3145,362.0,267.0,294.0,68.0,733.0,206.0,5.0,218.0
